k1,b,fields,analyser,recall_100,recall_500,recall_1000,map_cut_1000,ndcg_cut_10,P_5
1.9,0.8,text,english,0.3606,0.6800,0.7798,0.2829,0.5164,0.5450
1.9,0.9,text,english,0.3558,0.6796,0.7742,0.2788,0.5238,0.5600
2.1,0.3,text,english,0.3463,0.6656,0.7688,0.2756,0.5012,0.5400
2.1,0.4,text,english,0.3497,0.6676,0.7712,0.2786,0.5010,0.5450
2.1,0.5,text,english,0.3538,0.6733,0.7715,0.2803,0.5000,0.5450
2.1,0.6,text,english,0.3554,0.6768,0.7736,0.2822,0.5060,0.5400
2.1,0.7,text,english,0.3589,0.6779,0.7723,0.2813,0.5056,0.5300
2.1,0.8,text,english,0.3588,0.6757,0.7744,0.2811,0.5126,0.5450
2.1,0.9,text,english,0.3540,0.6724,0.7723,0.2770,0.5205,0.5550
2.3,0.3,text,english,0.3411,0.6599,0.7672,0.2725,0.5000,0.5450
2.3,0.4,text,english,0.3429,0.6650,0.7693,0.2758,0.5006,0.5450
2.3,0.5,text,english,0.3472,0.6685,0.7694,0.2778,0.5007,0.5450
2.3,0.6,text,english,0.3496,0.6729,0.7709,0.2797,0.5081,0.5450
2.3,0.7,text,english,0.3455,0.6747,0.7678,0.2789,0.5028,0.5350
2.3,0.8,text,english,0.3509,0.6741,0.7678,0.2790,0.5158,0.5450
2.3,0.9,text,english,0.3461,0.6714,0.7642,0.2749,0.5231,0.5550
2.5,0.3,text,english,0.3403,0.6566,0.7630,0.2695,0.5011,0.5450
2.5,0.4,text,english,0.3403,0.6601,0.7667,0.2724,0.4973,0.5500
2.5,0.5,text,english,0.3445,0.6633,0.7664,0.2743,0.4948,0.5450
2.5,0.6,text,english,0.3476,0.6674,0.7690,0.2758,0.5004,0.5450
2.5,0.7,text,english,0.3408,0.6733,0.7671,0.2763,0.5032,0.5300
2.5,0.8,text,english,0.3467,0.6716,0.7651,0.2764,0.5158,0.5450
2.5,0.9,text,english,0.3441,0.6699,0.7616,0.2728,0.5242,0.5550
2.7,0.3,text,english,0.3384,0.6517,0.7557,0.2658,0.4986,0.5400
2.7,0.4,text,english,0.3385,0.6566,0.7627,0.2690,0.4991,0.5450
2.7,0.5,text,english,0.3400,0.6597,0.7642,0.2714,0.4947,0.5550
2.7,0.6,text,english,0.3441,0.6629,0.7640,0.2730,0.5009,0.5450
2.7,0.7,text,english,0.3376,0.6661,0.7667,0.2738,0.5019,0.5350
2.7,0.8,text,english,0.3428,0.6663,0.7629,0.2739,0.5147,0.5500
2.7,0.9,text,english,0.3391,0.6668,0.7584,0.2704,0.5213,0.5600
2.9,0.3,text,english,0.3333,0.6453,0.7537,0.2631,0.4959,0.5450
2.9,0.4,text,english,0.3390,0.6511,0.7599,0.2662,0.4993,0.5450
2.9,0.5,text,english,0.3380,0.6555,0.7622,0.2688,0.4957,0.5500
2.9,0.6,text,english,0.3422,0.6604,0.7624,0.2706,0.5000,0.5500
2.9,0.7,text,english,0.3362,0.6628,0.7640,0.2713,0.5025,0.5450
2.9,0.8,text,english,0.3406,0.6611,0.7612,0.2713,0.5136,0.5500
2.9,0.9,text,english,0.3371,0.6616,0.7531,0.2680,0.5178,0.5500
0.5,0.3,text,gene_synonym_symbol,0.3555,0.6892,0.7830,0.2770,0.4970,0.5550
0.5,0.4,text,gene_synonym_symbol,0.3553,0.6903,0.7824,0.2769,0.4948,0.5600
0.5,0.5,text,gene_synonym_symbol,0.3567,0.6852,0.7822,0.2763,0.5004,0.5500
0.5,0.6,text,gene_synonym_symbol,0.3548,0.6848,0.7825,0.2750,0.5011,0.5400
0.5,0.7,text,gene_synonym_symbol,0.3528,0.6837,0.7824,0.2740,0.5055,0.5650
0.5,0.8,text,gene_synonym_symbol,0.3526,0.6823,0.7810,0.2717,0.5132,0.5600
0.5,0.9,text,gene_synonym_symbol,0.3505,0.6777,0.7785,0.2673,0.5191,0.5550
0.7,0.3,text,gene_synonym_symbol,0.3554,0.6927,0.7872,0.2787,0.4998,0.5400
0.7,0.4,text,gene_synonym_symbol,0.3560,0.6929,0.7862,0.2788,0.4972,0.5500
0.7,0.5,text,gene_synonym_symbol,0.3576,0.6892,0.7843,0.2779,0.4942,0.5350
0.7,0.6,text,gene_synonym_symbol,0.3574,0.6872,0.7836,0.2768,0.4997,0.5350
0.7,0.7,text,gene_synonym_symbol,0.3545,0.6863,0.7842,0.2756,0.5024,0.5550
0.7,0.8,text,gene_synonym_symbol,0.3539,0.6850,0.7818,0.2733,0.5096,0.5500
0.7,0.9,text,gene_synonym_symbol,0.3565,0.6813,0.7790,0.2687,0.5158,0.5500
0.9,0.3,text,gene_synonym_symbol,0.3570,0.6926,0.7888,0.2803,0.4967,0.5350
0.9,0.4,text,gene_synonym_symbol,0.3570,0.6948,0.7881,0.2803,0.4965,0.5450
0.9,0.5,text,gene_synonym_symbol,0.3562,0.6901,0.7875,0.2793,0.4963,0.5400
0.9,0.6,text,gene_synonym_symbol,0.3554,0.6898,0.7863,0.2783,0.4990,0.5300
0.9,0.7,text,gene_synonym_symbol,0.3535,0.6873,0.7859,0.2770,0.5008,0.5500
0.9,0.8,text,gene_synonym_symbol,0.3546,0.6874,0.7841,0.2746,0.5081,0.5500
0.9,0.9,text,gene_synonym_symbol,0.3568,0.6839,0.7807,0.2700,0.5165,0.5400
1.1,0.3,text,gene_synonym_symbol,0.3573,0.6941,0.7910,0.2811,0.4956,0.5150
1.1,0.4,text,gene_synonym_symbol,0.3574,0.6955,0.7908,0.2818,0.4923,0.5300
1.1,0.5,text,gene_synonym_symbol,0.3565,0.6912,0.7906,0.2818,0.4927,0.5300
1.1,0.6,text,gene_synonym_symbol,0.3573,0.6915,0.7898,0.2804,0.4998,0.5200
1.1,0.7,text,gene_synonym_symbol,0.3576,0.6896,0.7893,0.2787,0.5019,0.5400
1.1,0.8,text,gene_synonym_symbol,0.3532,0.6892,0.7865,0.2762,0.5036,0.5450
1.1,0.9,text,gene_synonym_symbol,0.3574,0.6869,0.7841,0.2711,0.5133,0.5400
1.3,0.3,text,gene_synonym_symbol,0.3566,0.6918,0.7916,0.2826,0.4952,0.5200
1.3,0.4,text,gene_synonym_symbol,0.3572,0.6923,0.7915,0.2834,0.4937,0.5250
1.3,0.5,text,gene_synonym_symbol,0.3574,0.6952,0.7907,0.2827,0.4891,0.5300
1.3,0.6,text,gene_synonym_symbol,0.3568,0.6898,0.7902,0.2814,0.4930,0.5250
1.3,0.7,text,gene_synonym_symbol,0.3540,0.6897,0.7906,0.2798,0.4999,0.5450
1.3,0.8,text,gene_synonym_symbol,0.3516,0.6890,0.7900,0.2772,0.5006,0.5400
1.3,0.9,text,gene_synonym_symbol,0.3570,0.6860,0.7853,0.2721,0.5109,0.5350
1.5,0.3,text,gene_synonym_symbol,0.3572,0.6909,0.7920,0.2821,0.4914,0.5250
1.5,0.4,text,gene_synonym_symbol,0.3546,0.6931,0.7910,0.2830,0.4909,0.5300
1.5,0.5,text,gene_synonym_symbol,0.3569,0.6947,0.7915,0.2828,0.4877,0.5300
1.5,0.6,text,gene_synonym_symbol,0.3552,0.6909,0.7897,0.2816,0.4903,0.5300
1.5,0.7,text,gene_synonym_symbol,0.3561,0.6907,0.7883,0.2799,0.4994,0.5450
1.5,0.8,text,gene_synonym_symbol,0.3507,0.6896,0.7885,0.2777,0.5006,0.5400
1.5,0.9,text,gene_synonym_symbol,0.3560,0.6857,0.7856,0.2726,0.5067,0.5450
1.7,0.3,text,gene_synonym_symbol,0.3596,0.6902,0.7936,0.2818,0.4932,0.5150
1.7,0.4,text,gene_synonym_symbol,0.3608,0.6914,0.7914,0.2824,0.4885,0.5200
1.7,0.5,text,gene_synonym_symbol,0.3560,0.6932,0.7903,0.2824,0.4879,0.5250
1.7,0.6,text,gene_synonym_symbol,0.3548,0.6900,0.7895,0.2813,0.4925,0.5250
1.7,0.7,text,gene_synonym_symbol,0.3558,0.6918,0.7892,0.2798,0.4936,0.5500
1.7,0.8,text,gene_synonym_symbol,0.3501,0.6899,0.7866,0.2773,0.4983,0.5450
1.7,0.9,text,gene_synonym_symbol,0.3549,0.6850,0.7842,0.2718,0.5077,0.5400
1.9,0.3,text,gene_synonym_symbol,0.3591,0.6896,0.7938,0.2805,0.4848,0.5150
1.9,0.4,text,gene_synonym_symbol,0.3620,0.6902,0.7925,0.2810,0.4843,0.5200
1.9,0.5,text,gene_synonym_symbol,0.3567,0.6917,0.7926,0.2817,0.4847,0.5200
1.9,0.6,text,gene_synonym_symbol,0.3549,0.6935,0.7911,0.2807,0.4873,0.5200
1.9,0.7,text,gene_synonym_symbol,0.3552,0.6873,0.7893,0.2793,0.4894,0.5400
1.9,0.8,text,gene_synonym_symbol,0.3501,0.6899,0.7865,0.2767,0.4950,0.5500
1.9,0.9,text,gene_synonym_symbol,0.3538,0.6828,0.7845,0.2713,0.5041,0.5450
2.1,0.3,text,gene_synonym_symbol,0.3572,0.6894,0.7917,0.2791,0.4843,0.5150
2.1,0.4,text,gene_synonym_symbol,0.3603,0.6901,0.7927,0.2801,0.4831,0.5150
2.1,0.5,text,gene_synonym_symbol,0.3563,0.6922,0.7927,0.2807,0.4788,0.5150
2.1,0.6,text,gene_synonym_symbol,0.3533,0.6927,0.7923,0.2805,0.4817,0.5200
2.1,0.7,text,gene_synonym_symbol,0.3538,0.6864,0.7896,0.2786,0.4865,0.5350
2.1,0.8,text,gene_synonym_symbol,0.3508,0.6850,0.7861,0.2763,0.4879,0.5500
2.1,0.9,text,gene_synonym_symbol,0.3558,0.6818,0.7846,0.2709,0.5022,0.5400
2.3,0.3,text,gene_synonym_symbol,0.3566,0.6887,0.7905,0.2776,0.4814,0.5100
2.3,0.4,text,gene_synonym_symbol,0.3578,0.6885,0.7927,0.2793,0.4794,0.5150
2.3,0.5,text,gene_synonym_symbol,0.3580,0.6929,0.7931,0.2801,0.4770,0.5150
2.3,0.6,text,gene_synonym_symbol,0.3540,0.6934,0.7927,0.2798,0.4790,0.5200
2.3,0.7,text,gene_synonym_symbol,0.3527,0.6869,0.7899,0.2781,0.4808,0.5400
2.3,0.8,text,gene_synonym_symbol,0.3528,0.6850,0.7853,0.2760,0.4868,0.5500
2.3,0.9,text,gene_synonym_symbol,0.3522,0.6819,0.7818,0.2706,0.4970,0.5400
2.5,0.3,text,gene_synonym_symbol,0.3542,0.6892,0.7886,0.2762,0.4808,0.5050
2.5,0.4,text,gene_synonym_symbol,0.3556,0.6881,0.7918,0.2782,0.4791,0.5150
2.5,0.5,text,gene_synonym_symbol,0.3553,0.6923,0.7941,0.2794,0.4732,0.5200
2.5,0.6,text,gene_synonym_symbol,0.3523,0.6946,0.7936,0.2792,0.4759,0.5200
2.5,0.7,text,gene_synonym_symbol,0.3513,0.6879,0.7927,0.2773,0.4754,0.5450
2.5,0.8,text,gene_synonym_symbol,0.3523,0.6855,0.7881,0.2756,0.4851,0.5450
2.5,0.9,text,gene_synonym_symbol,0.3517,0.6810,0.7823,0.2699,0.4895,0.5400
2.7,0.3,text,gene_synonym_symbol,0.3535,0.6863,0.7881,0.2748,0.4807,0.5050
2.7,0.4,text,gene_synonym_symbol,0.3547,0.6897,0.7892,0.2769,0.4808,0.5150
2.7,0.5,text,gene_synonym_symbol,0.3556,0.6910,0.7919,0.2784,0.4769,0.5200
2.7,0.6,text,gene_synonym_symbol,0.3516,0.6936,0.7930,0.2783,0.4731,0.5200
2.7,0.7,text,gene_synonym_symbol,0.3501,0.6934,0.7928,0.2772,0.4769,0.5450
2.7,0.8,text,gene_synonym_symbol,0.3495,0.6844,0.7886,0.2748,0.4837,0.5500
2.7,0.9,text,gene_synonym_symbol,0.3511,0.6794,0.7833,0.2692,0.4870,0.5350
2.9,0.3,text,gene_synonym_symbol,0.3507,0.6825,0.7869,0.2735,0.4828,0.4950
2.9,0.4,text,gene_synonym_symbol,0.3526,0.6840,0.7894,0.2756,0.4785,0.5000
2.9,0.5,text,gene_synonym_symbol,0.3565,0.6892,0.7902,0.2772,0.4784,0.5150
2.9,0.6,text,gene_synonym_symbol,0.3519,0.6904,0.7921,0.2768,0.4740,0.5200
2.9,0.7,text,gene_synonym_symbol,0.3487,0.6922,0.7943,0.2766,0.4785,0.5450
2.9,0.8,text,gene_synonym_symbol,0.3490,0.6847,0.7926,0.2742,0.4819,0.5550
2.9,0.9,text,gene_synonym_symbol,0.3488,0.6798,0.7852,0.2687,0.4879,0.5350
